column1	column2	column1_stemmed	column2_stemmed	column1_lemmatized	column2_lemmatized
sort of. knows sneak cigarette.	don't need good nose thatcigarettes stink.	sort of. knows sneak cigarette.	don't need good nose thatcigarettes stink.	sort of. knows sneak cigarette.	don't need good nose thatcigarettes stink.
don't need good nose thatcigarettes stink.	sneak cigarette morning, smell evening!	don't need good nose thatcigarettes stink.	sneak cigarette morning, smell evening!	don't need good nose thatcigarettes stink.	sneak cigarette morning, smell evening!
sneak cigarette morning, smell evening!	boy, good nose.	sneak cigarette morning, smell evening!	boy, good nose.	sneak cigarette morning, smell evening!	boy, good nose.
boy, good nose.	told apply job customs.	boy, good nose.	told apply job customs.	boy, good nose.	told apply job customs.
let's eat.	sounds like fun.	let's eat.	sounds like fun.	let's eat.	sounds like fun.
sounds like fun.	want go?	sounds like fun.	want go?	sounds like fun.	want go?
want go?	let think minute.	want go?	let think minute.	want go?	let think minute.
let think minute.	feel like chinese.	let think minute.	feel like chinese.	let think minute.	feel like chinese.
feel like chinese.	sounds delicious.	feel like chinese.	sounds delicious.	feel like chinese.	sounds delicious.
sounds delicious.	know good chinese restaurant.	sounds delicious.	know good chinese restaurant.	sounds delicious.	know good chinese restaurant.
know good chinese restaurant.	far away it?	know good chinese restaurant.	far away it?	know good chinese restaurant.	far away it?
far away it?	it's 10 minutes here.	far away it?	it's 10 minutes here.	far away it?	it's 10 minutes here.
it's 10 minutes here.	need reservations?	it's 10 minutes here.	need reservations?	it's 10 minutes here.	need reservations?
need reservations?	oh, no. walk right in.	need reservations?	oh, no. walk right in.	need reservations?	oh, no. walk right in.
oh, no. walk right in.	let's now. i'm hungry!	oh, no. walk right in.	let's now. i'm hungry!	oh, no. walk right in.	let's now. i'm hungry!
can't believe long line is.	popular restaurant, isn't it?	can't believe long line is.	popular restaurant, isn't it?	can't believe long line is.	popular restaurant, isn't it?
popular restaurant, isn't it?	yes, isn't fast-food restaurant, it?	popular restaurant, isn't it?	yes, isn't fast-food restaurant, it?	popular restaurant, isn't it?	yes, isn't fast-food restaurant, it?
yes, isn't fast-food restaurant, it?	it's slowest hamburger town.	yes, isn't fast-food restaurant, it?	it's slowest hamburger town.	yes, isn't fast-food restaurant, it?	it's slowest hamburger town.
it's slowest hamburger town.	that's cook wait.	it's slowest hamburger town.	that's cook wait.	it's slowest hamburger town.	that's cook wait.
that's cook wait.	yes. that's it's best hamburger town.	that's cook wait.	yes. that's it's best hamburger town.	that's cook wait.	yes. that's it's best hamburger town.
yes. that's it's best hamburger town.	great burger great service.	yes. that's it's best hamburger town.	great burger great service.	yes. that's it's best hamburger town.	great burger great service.
great burger great service.	yes, workers polite.	great burger great service.	yes, workers polite.	great burger great service.	yes, workers polite.
yes, workers polite.	they're clean.	yes, workers polite.	they're clean.	yes, workers polite.	they're clean.
they're clean.	i've coming years.	they're clean.	i've coming years.	they're clean.	i've coming years.
i've coming years.	too.	i've coming years.	too.	i've coming years.	too.
too.	excuse me. called number.	too.	excuse me. called number.	too.	excuse me. called number.
lunch delicious.	thank you.	lunch delicious.	thank you.	lunch delicious.	thank you.
thank you.	kind soup that?	thank you.	kind soup that?	thank you.	kind soup that?
kind soup that?	tomato soup.	kind soup that?	tomato soup.	kind soup that?	tomato soup.
tomato soup.	tasted good.	tomato soup.	tasted good.	tomato soup.	tasted good.
tasted good.	lemon butter it.	tasted good.	lemon butter it.	tasted good.	lemon butter it.
lemon butter it.	sandwich good, too.	lemon butter it.	sandwich good, too.	lemon butter it.	sandwich good, too.
sandwich good, too.	likes bacon tomato sandwiches.	sandwich good, too.	likes bacon tomato sandwiches.	sandwich good, too.	likes bacon tomato sandwiches.
likes bacon tomato sandwiches.	especially toast.	likes bacon tomato sandwiches.	especially toast.	likes bacon tomato sandwiches.	especially toast.
especially toast.	pickles great, too.	especially toast.	pickles great, too.	especially toast.	pickles great, too.
pickles great, too.	tomorrow we'll rice fish lunch.	pickles great, too.	tomorrow we'll rice fish lunch.	pickles great, too.	tomorrow we'll rice fish lunch.
tomorrow we'll rice fish lunch.	can't wait.	tomorrow we'll rice fish lunch.	can't wait.	tomorrow we'll rice fish lunch.	can't wait.
i'm calling waiter.	what's matter?	i'm calling waiter.	what's matter?	i'm calling waiter.	what's matter?
what's matter?	steak fat.	what's matter?	steak fat.	what's matter?	steak fat.
steak fat.	want waiter do?	steak fat.	want waiter do?	steak fat.	want waiter do?
want waiter do?	bring better steak.	want waiter do?	bring better steak.	want waiter do?	bring better steak.
bring better steak.	wouldn't that.	bring better steak.	wouldn't that.	bring better steak.	wouldn't that.
wouldn't that.	not?	wouldn't that.	not?	wouldn't that.	not?
not?	drop new steak floor, step it, spit it.	not?	drop new steak floor, step it, spit it.	not?	drop new steak floor, step it, spit it.
drop new steak floor, step it, spit it.	you're crazy.	drop new steak floor, step it, spit it.	you're crazy.	drop new steak floor, step it, spit it.	you're crazy.
you're crazy.	waiter big smile brings new steak.	you're crazy.	waiter big smile brings new steak.	you're crazy.	waiter big smile brings new steak.
waiter big smile brings new steak.	crazy ideas?	waiter big smile brings new steak.	crazy ideas?	waiter big smile brings new steak.	crazy ideas?
crazy ideas?	cook restaurant!	crazy ideas?	cook restaurant!	crazy ideas?	cook restaurant!
let's leave.	got here.	let's leave.	got here.	let's leave.	got here.
got here.	waiter's hands?	got here.	waiter's hands?	got here.	waiter's hands?
waiter's hands?	no.	waiter's hands?	no.	waiter's hands?	no.
no.	dirty fingernails.	no.	dirty fingernails.	no.	dirty fingernails.
dirty fingernails.	really?	dirty fingernails.	really?	dirty fingernails.	really?
really?	nails black!	really?	nails black!	really?	nails black!
nails black!	that's disgusting.	nails black!	that's disgusting.	nails black!	that's disgusting.
that's disgusting.	poured water glasses.	that's disgusting.	poured water glasses.	that's disgusting.	poured water glasses.
poured water glasses.	yuck! water me.	poured water glasses.	yuck! water me.	poured water glasses.	yuck! water me.
yuck! water me.	wonder cooks' nails dirty, too.	yuck! water me.	wonder cooks' nails dirty, too.	yuck! water me.	wonder cooks' nails dirty, too.
wonder cooks' nails dirty, too.	cares? let's here.	wonder cooks' nails dirty, too.	cares? let's here.	wonder cooks' nails dirty, too.	cares? let's here.
hot bread delicious.	like restaurant free bread.	hot bread delicious.	like restaurant free bread.	hot bread delicious.	like restaurant free bread.
like restaurant free bread.	well, think paying it.	like restaurant free bread.	well, think paying it.	like restaurant free bread.	well, think paying it.
well, think paying it.	no. look bill it. there's charge bread.	well, think paying it.	no. look bill it. there's charge bread.	well, think paying it.	no. look bill it. there's charge bread.
no. look bill it. there's charge bread.	delicious, especially butter.	no. look bill it. there's charge bread.	delicious, especially butter.	no. look bill it. there's charge bread.	delicious, especially butter.
delicious, especially butter.	think leave fill bread.	delicious, especially butter.	think leave fill bread.	delicious, especially butter.	think leave fill bread.
think leave fill bread.	probably wouldn't like that.	think leave fill bread.	probably wouldn't like that.	think leave fill bread.	probably wouldn't like that.
probably wouldn't like that.	i'm eating bread i'm getting full.	probably wouldn't like that.	i'm eating bread i'm getting full.	probably wouldn't like that.	i'm eating bread i'm getting full.
i'm eating bread i'm getting full.	stop eating bread!	i'm eating bread i'm getting full.	stop eating bread!	i'm eating bread i'm getting full.	stop eating bread!
stop eating bread!	okay, piece. pass butter, please.	stop eating bread!	okay, piece. pass butter, please.	stop eating bread!	okay, piece. pass butter, please.
okay, piece. pass butter, please.	owned restaurant, serve hot bread main course.	okay, piece. pass butter, please.	owned restaurant, serve hot bread main course.	okay, piece. pass butter, please.	owned restaurant, serve hot bread main course.
owned restaurant, serve hot bread main course.	that's terrible. restaurant.	owned restaurant, serve hot bread main course.	that's terrible. restaurant.	owned restaurant, serve hot bread main course.	that's terrible. restaurant.
clean restaurant?	well, tables chairs look okay.	clean restaurant?	well, tables chairs look okay.	clean restaurant?	well, tables chairs look okay.
well, tables chairs look okay.	okay, let's sit down.	well, tables chairs look okay.	okay, let's sit down.	well, tables chairs look okay.	okay, let's sit down.
okay, let's sit down.	check silverware.	okay, let's sit down.	check silverware.	okay, let's sit down.	check silverware.
check silverware.	passes inspection.	check silverware.	passes inspection.	check silverware.	passes inspection.
passes inspection.	comes waiter. hands nails clean.	passes inspection.	comes waiter. hands nails clean.	passes inspection.	comes waiter. hands nails clean.
comes waiter. hands nails clean.	well, waiter looked clean, guess it's okay eat here.	comes waiter. hands nails clean.	well, waiter looked clean, guess it's okay eat here.	comes waiter. hands nails clean.	well, waiter looked clean, guess it's okay eat here.
well, waiter looked clean, guess it's okay eat here.	you're forgetting bathroom.	well, waiter looked clean, guess it's okay eat here.	you're forgetting bathroom.	well, waiter looked clean, guess it's okay eat here.	you're forgetting bathroom.
you're forgetting bathroom.	i'm going hope bathroom clean.	you're forgetting bathroom.	i'm going hope bathroom clean.	you're forgetting bathroom.	i'm going hope bathroom clean.
i'm going hope bathroom clean.	you're going examine order dinner?	i'm going hope bathroom clean.	you're going examine order dinner?	i'm going hope bathroom clean.	you're going examine order dinner?
you're going examine order dinner?	no, i'd find it's dirty, i'm pretty hungry right now.	you're going examine order dinner?	no, i'd find it's dirty, i'm pretty hungry right now.	you're going examine order dinner?	no, i'd find it's dirty, i'm pretty hungry right now.
no, i'd find it's dirty, i'm pretty hungry right now.	me, too. let's forget germs focus food.	no, i'd find it's dirty, i'm pretty hungry right now.	me, too. let's forget germs focus food.	no, i'd find it's dirty, i'm pretty hungry right now.	me, too. let's forget germs focus food.
